area,area_rank,box_family_density,box_id,box_pair_agree,cluster_echo_count,col,col_path_min,col_path_span,col_proximity_score,col_rank,cols_hit,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vt_boxed,dr.win_vt_straight,dr.win_vtrac,dr.win_vtrac_local_index,draw,draw_rank,drop_digit,drop_digit_mode,drop_digit_mode_stability,drop_run_len,dup_bonus,dup_bonus_raw,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_exact_step,earliest_family_exact_step,earliest_family_vtrac_step,earliest_vtrac_step,family_id,family_unique,features_json,final_drop_exact_match,final_drop_vtrac_match,final_exact_match,final_family_exact_match,final_family_vtrac_match,final_linear,final_prob,final_value,final_vtrac_match,funnel_precol1,is_extended_cluster,lock_decision,lock_reason,lockscore_decision,lockscore_prob,lockscore_v2,ls2_lane,ls2_progress,ls_col_42,method,method_consensus,mode,pattern,persistence_drop_exact,persistence_drop_vtrac,persistence_exact,persistence_exact_score,persistence_family_exact,persistence_family_vtrac,persistence_vtrac,persistence_vtrac_score,recency_carryover,residual_purity,score,score_raw,score_v2,section,section_rank,set,set1_terminal,set_echo_count,set_min_rank,set_progress,set_proximity_score,set_rank,state,variant,variant_echo_count,variants_hit,vt_only_lane,vtrac.hot_source,vtrac.set,vtrac.v_hot,vtrac_key
LS1,1,0.6666666666666666,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,6,6,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1], [""7"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1], [""7"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""5"", 1, 2], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2], [""7"", 1, 2], [""5"", 1, 3], [""9"", 1, 3], [""4"", 1, 3], [""6"", 1, 3], [""7"", 1, 3], [""5"", 1, 4], [""9"", 1, 4], [""6"", 1, 4], [""7"", 1, 4], [""5"", 1, 5], [""9"", 1, 5], [""6"", 1, 5], [""7"", 1, 5], [""5"", 1, 6], [""9"", 1, 6], [""6"", 1, 6], [""5"", 1, 7], [""9"", 1, 7], [""6"", 1, 7], [""5"", 1, 8], [""6"", 1, 8], [""5"", 1, 9], [""6"", 1, 9]], ""family_mass"": [0.42857142857142855, 0.6, 0.6, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5], ""family_runs"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.433333,0.5457053875844059,,0,0,False,,score>=lock,lock,1.0,3.418177,0,0.7,0,A,6,combined,594,3,3,3,3.0,3,3,3,3.0,0,0,0.9515099470195437,7.389999999999999,8.897143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,1.0,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,6,4,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""5"", 1, 2], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2], [""5"", 1, 3], [""9"", 1, 3], [""6"", 1, 3], [""5"", 1, 4], [""9"", 1, 4]], ""family_mass"": [0.42857142857142855, 0.75, 0.6666666666666666, 1.0, 1.0], ""family_runs"": [1, 1, 1, 1, 1]}",0,0,0,0,0,0.55,0.574442516811659,,0,0,False,,score>=lock,lock,1.0,3.14109,0,0.7,0,B,6,own,594,2,2,2,2.0,2,2,2,2.0,0,0,0.9410903376499049,6.989999999999998,8.097143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,0.75,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,6,4,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""5"", 1, 2], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2], [""9"", 1, 3], [""4"", 1, 3], [""6"", 1, 3], [""9"", 1, 4], [""6"", 1, 4]], ""family_mass"": [0.42857142857142855, 0.75, 0.6666666666666666, 0.5, 0.0], ""family_runs"": [1, 1, 1, 1]}",0,0,0,0,0,0.4375,0.5467381519846138,,0,0,False,,score>=lock,lock,1.0,3.07859,0,0.7,0,B,6,combined,594,2,2,2,2.0,2,2,2,2.0,0,0,0.9410903376499049,6.989999999999998,8.097143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,0.6666666666666666,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,0,2,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2]], ""family_mass"": [0.42857142857142855, 0.6666666666666666, 0.0], ""family_runs"": [1, 1]}",0,0,0,0,0,0.533333,0.5703632448561154,,0,0,False,,score>=lock,lock,1.0,2.69518,0,0.7,0,C,6,own,594,1,1,1,1.0,1,1,1,1.0,0,0,0.928513764888952,6.589999999999999,7.297143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,0.6666666666666666,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,0,2,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2], [""9"", 1, 3], [""4"", 1, 3], [""6"", 1, 3]], ""family_mass"": [0.42857142857142855, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0], ""family_runs"": [1, 1, 1]}",0,0,0,0,0,0.433333,0.5457053875844059,,0,0,False,,score>=lock,lock,1.0,2.69518,0,0.7,0,C,6,combined,594,1,1,1,1.0,1,1,1,1.0,0,0,0.928513764888952,6.589999999999999,7.297143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,0.6666666666666666,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,0,2,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2]], ""family_mass"": [0.42857142857142855, 0.6666666666666666, 0.0], ""family_runs"": [1, 1]}",0,0,0,0,0,0.533333,0.5703632448561154,,0,0,False,,score>=lock,lock,1.0,2.69518,0,0.7,0,D,6,own,594,1,1,1,1.0,1,1,1,1.0,0,0,0.928513764888952,6.589999999999999,7.297143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,0.6666666666666666,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,0,2,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2], [""9"", 1, 3], [""4"", 1, 3], [""6"", 1, 3]], ""family_mass"": [0.42857142857142855, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0], ""family_runs"": [1, 1, 1]}",0,0,0,0,0,0.433333,0.5457053875844059,,0,0,False,,score>=lock,lock,1.0,2.69518,0,0.7,0,D,6,combined,594,1,1,1,1.0,1,1,1,1.0,0,0,0.928513764888952,6.589999999999999,7.297143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,1.0,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,6,4,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""5"", 1, 2], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2], [""5"", 1, 3], [""9"", 1, 3], [""6"", 1, 3], [""5"", 1, 4], [""9"", 1, 4]], ""family_mass"": [0.42857142857142855, 0.75, 0.6666666666666666, 1.0, 1.0], ""family_runs"": [1, 1, 1, 1, 1]}",0,0,0,0,0,0.55,0.574442516811659,,0,0,False,,score>=lock,lock,1.0,3.14109,0,0.7,0,E,6,own,594,2,2,2,2.0,2,2,2,2.0,0,0,0.9410903376499049,6.989999999999998,8.097143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,0.75,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,6,4,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""5"", 1, 2], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2], [""9"", 1, 3], [""4"", 1, 3], [""6"", 1, 3], [""9"", 1, 4], [""6"", 1, 4]], ""family_mass"": [0.42857142857142855, 0.75, 0.6666666666666666, 0.5, 0.0], ""family_runs"": [1, 1, 1, 1]}",0,0,0,0,0,0.4375,0.5467381519846138,,0,0,False,,score>=lock,lock,1.0,3.07859,0,0.7,0,E,6,combined,594,2,2,2,2.0,2,2,2,2.0,0,0,0.9410903376499049,6.989999999999998,8.097143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,0.6666666666666666,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,0,2,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2]], ""family_mass"": [0.42857142857142855, 0.6666666666666666, 0.0, 0.0], ""family_runs"": [1, 1]}",0,0,0,0,0,0.533333,0.5703632448561154,,0,0,False,,score>=lock,lock,1.0,2.69518,0,0.7,0,T,6,own,594,1,1,1,1.0,1,1,1,1.0,0,0,0.928513764888952,6.589999999999999,7.297143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,0.6666666666666666,5940867,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,**,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw5,5,0,0,2,1,0.0,1,1,1,1,1,1,1,459,459,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""8"", 1], [""6"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 1, 1], [""9"", 1, 2], [""4"", 1, 2], [""6"", 1, 2], [""9"", 1, 3], [""4"", 1, 3], [""6"", 1, 3]], ""family_mass"": [0.42857142857142855, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0], ""family_runs"": [1, 1, 1]}",0,0,0,0,0,0.433333,0.5457053875844059,,0,0,False,,score>=lock,lock,1.0,2.69518,0,0.7,0,T,6,combined,594,1,1,1,1.0,1,1,1,1.0,0,0,0.928513764888952,6.589999999999999,7.297143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,2,2,0,none,15,0.0,15
LS1,1,0.6,559240088667,1,5,2,1,6,1.0,2,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw6,6,0,6,8,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 5, 3, 3, 3, 4, 4, 5, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""4"", 1], [""0"", 2], [""8"", 2], [""6"", 2], [""7"", 1], [""4"", 1], [""6"", 2], [""7"", 1], [""6"", 2], [""7"", 1], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""4"", 1], [""0"", 2], [""8"", 2], [""6"", 2], [""7"", 1], [""4"", 1], [""6"", 2], [""7"", 1], [""6"", 2], [""7"", 1], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""0"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""5"", 2, 2], [""9"", 1, 2], [""4"", 1, 2], [""6"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""9"", 1, 3], [""6"", 2, 3], [""7"", 1, 3], [""5"", 2, 4], [""9"", 1, 4], [""6"", 2, 4], [""5"", 2, 5], [""6"", 2, 5]], ""family_mass"": [0.25, 0.42857142857142855, 0.5, 0.6, 0.5], ""family_runs"": [2, 2, 2, 2, 2]}",0,0,0,0,0,0.71,0.6130141761393355,,0,1,False,,score>=lock,lock,1.0,3.924766,0,0.5,1,A,6,own,559,4,4,4,4.0,4,4,4,4.0,1,0,0.9747656786413226,8.719999999999999,11.127143,Combined,3,Set1,1,1,1,2,1.0,1,Michigan4,Combined,1,1,0,none,15,0.0,15
